Y,X2,X3,X4,X5,X6,X7,Country,Year,Status,
54.5,51.3,25.4,344,8.15,10,9.8,Nigeria,2015,Developing,
53.6,50.9,24.7,362,8.21,10,10.1,Nigeria,2014,Developing,
53.2,50.2,24.1,367,8.3,9.8,10.4,Nigeria,2013,Developing,
52.7,49.3,23.5,374,8.54,9.7,10.7,Nigeria,2012,Developing,
52.3,49.1,22.8,375,8.75,9.6,11,Nigeria,2011,Developing,
52,48.8,22.2,374,8.9,9.5,11.3,Nigeria,2010,Developing,
51.6,47.6,21.6,376,9.05,9.3,11.7,Nigeria,2009,Developing,
59,45.2,21,386,9.3,9.2,12,Nigeria,2008,Developing,
55,44.9,20.4,388,9.55,9.1,12.3,Nigeria,2007,Developing,
49.8,44.4,19.9,396,9.66,9,12.6,Nigeria,2006,Developing,
49.2,43.1,19.3,400,9.71,8.9,12.9,Nigeria,2005,Developing,
48.5,43,18.8,407,9.76,8.5,13.2,Nigeria,2004,Developing,
48.1,42.5,18.3,411,9.75,8.1,13.5,Nigeria,2003,Developing,
47.7,42.1,17.8,414,9.61,7.7,13.8,Nigeria,2002,Developing,
47.4,41.9,17.3,418,9.58,7.3,14.1,Nigeria,2001,Developing,
47.1,40.6,16.9,425,9.23,6.8,14.3,Nigeria,2000,Developing,
63.4,48.7,22,249,1.77,11.1,7.8,Kenya,2015,Developing,
62.9,48.5,21.3,255,1.01,11.1,7.8,Kenya,2014,Developing,
62.6,48.7,20.7,258,1.84,11.1,7.9,Kenya,2013,Developing,
62.1,48,20.1,263,1.81,11.1,8,Kenya,2012,Developing,
61.2,47.7,19.5,278,1.8,11.1,8.1,Kenya,2011,Developing,
63,47.5,18.9,294,1.73,11.1,8.2,Kenya,2010,Developing,
59.1,47.2,18.4,317,1.86,10.7,8.2,Kenya,2009,Developing,
57.9,47,17.9,339,1.71,10.4,8.3,Kenya,2008,Developing,
56.8,46.9,17.3,356,1.97,10.1,8.4,Kenya,2007,Developing,
55.3,46.5,16.9,388,1.76,9.7,8.5,Kenya,2006,Developing,
54.1,46.4,16.4,412,1.82,9.6,8.6,Kenya,2005,Developing,
53,45.9,15.9,432,1.43,8.9,8.7,Kenya,2004,Developing,
52.4,45.3,15.5,437,1.49,8.2,8.8,Kenya,2003,Developing,
52.1,45,15.1,437,1.66,8.5,8.9,Kenya,2002,Developing,
51.9,44.6,14.7,434,1.63,8.4,9,Kenya,2001,Developing,
51.9,44,14.4,428,1.51,8.4,9.2,Kenya,2000,Developing,
